Epoch,Accuracy,ECE,MCE
5,28.89,0.15032019656151532,0.23444066793713347
10,37.71,0.18224038030132653,0.3027554291103958
30,45.94,0.20592531204894185,0.3042122095259342
50,54.31,0.1772616296418011,0.28223564590496053
70,55.669999999999995,0.19168384767770766,0.32006293631059946
90,70.61,0.1523056745737791,0.2954477957959445
110,70.19,0.18309221114218233,0.360411335324212
130,69.61,0.19586564742028706,0.39935638160705567
150,69.33,0.19634338908791543,0.4320871871709824
170,70.47,0.1902529299616814,0.40723655227399613
200,70.27,0.19549344696551563,0.36852923086421063
250,70.32000000000001,0.19614623962193722,0.3951087743732705
300,70.11,0.19917407524436712,0.3944429248571396
350,70.05,0.20073572776764637,0.4822234958410263
400,70.03,0.20030550416260962,0.42225186201120846
450,69.82000000000001,0.202061131182313,0.4066014074205612
500,69.83,0.20199269449859852,0.4151530642157946
