Epoch,Accuracy,ECE,MCE
10,69.75,0.34085687047541147,0.8805456679552478
30,79.86,0.37907953356653457,0.887517149506307
50,85.44,0.39748586612194775,0.8909647127779753
70,86.89,0.41058719242513175,0.8924821859230625
100,89.86,0.4254835459381342,0.8950417217661123
150,89.97,0.42921981841027734,0.8947905457538107
200,89.97,0.4293464036792517,0.8956093766507419
300,89.9,0.4295027120649815,0.8960568990279971
400,89.89,0.4294779585212469,0.8960951789034209
500,89.95,0.4299282659560443,0.896148538966878
