Epoch,Accuracy,ECE,MCE
5,44.84,0.2903208333343267,0.4080423832449138
10,70.04,0.06150388136059044,0.17472213506698608
30,75.48,0.12287973684072495,0.30241939425468445
50,81.12,0.09137823319286115,0.8052255809307098
70,83.65,0.08742775268703695,0.2559853205899365
100,85.83,0.0661626446321607,0.210381884466518
150,83.41,0.10779536312222479,0.316076980630157
200,80.22,0.13262066583633422,0.6779951900243759
300,92.10000000000001,0.055023135465383545,0.37077041608946665
400,92.02,0.05894989677518611,0.6810691058635712
500,92.09,0.058734483781456945,0.7571364045143127
